ID_Transacao,Data_Venda,ID_Cliente,Nome_Produto,Categoria_Produto,Valor_Unitario,Quantidade,Desconto_Pct,Metodo_Pagamento,Canal_Venda,Cidade,Estado,Valor_Bruto,Valor_Desconto,Valor_Total
1423,2025-04-16,2232,Jaqueta,Roupas,217.22,2,5.0,Pix,App,Ilhéus,BA,434.44,21.722,412.718
4819,2025-04-16,2341,Perfume,Beleza,172.65,4,0.0,Boleto,Marketplace,Santos,SP,690.6,0.0,690.6
746,2025-04-16,1685,Almofada,Casa,40.33,1,0.0,Pix,Site,Salvador,BA,40.33,0.0,40.33
4782,2025-04-16,1526,Almofada,Casa,44.16,1,0.0,Boleto,App,Contagem,MG,44.16,0.0,44.16
5616,2025-04-16,1212,Almofada,Casa,40.7,1,0.0,Boleto,App,Petrópolis,RJ,40.7,0.0,40.7
695,2025-04-16,1296,Almofada,Casa,47.47,1,0.0,Boleto,App,Vitória da Conquista,BA,47.47,0.0,47.47
236,2025-04-16,1796,Boné,Roupas,50.62,4,0.0,Boleto,App,Niterói,RJ,202.48,0.0,202.48
4730,2025-04-16,1857,Celular,Eletrônicos,1826.14,1,5.0,Cartão de Débito,Site,Salvador,BA,1826.14,91.30700000000002,1734.833
396,2025-04-16,2270,Sabonete,Beleza,10.73,3,10.0,Cartão de Débito,Site,Belo Horizonte,MG,32.19,3.219,28.970999999999997
5566,2025-04-16,1601,Tênis,Roupas,285.64,2,5.0,Boleto,Site,Itabira,MG,571.28,28.564,542.716
2659,2025-04-16,2112,Notebook,Eletrônicos,3582.96,2,0.0,Cartão de Débito,Site,Feira de Santana,BA,7165.92,0.0,7165.92
5089,2025-04-16,1057,Notebook,Eletrônicos,3762.94,1,0.0,Cartão de Débito,Site,São Paulo,SP,3762.94,0.0,3762.94
1509,2025-04-16,1615,Calça,Roupas,119.06,1,5.0,Cartão de Débito,Marketplace,Ilhéus,BA,119.06,5.953,113.107
5184,2025-04-16,1177,Maquiagem,Beleza,94.31,3,5.0,Cartão de Débito,Marketplace,Salvador,BA,282.93,14.146500000000001,268.7835
5496,2025-04-16,2084,Celular,Eletrônicos,1853.17,1,0.0,Cartão de Débito,Site,Contagem,MG,1853.17,0.0,1853.17
